Stateandterritory,Industry,Category,PersonsMedianweeklyearnings,MalesMedianweeklyearnings,FemalesMedianweeklyearnings
Victoria,"Professional, scientific and technical services",Full-time,1841,1998.394,1579.005
Victoria,"Professional, scientific and technical services",Part-time,826.639,885.599,825.726
Victoria,"Professional, scientific and technical services",Skill level 1,1917,2107.073,1711.849
Victoria,"Professional, scientific and technical services",Skill level 2,1370.723,1466.567,1307.965
Victoria,"Professional, scientific and technical services",Skill level 3,1202.897,1559.813,939.528
Victoria,"Professional, scientific and technical services",Skill level 4,1078.91,1125.112,1043.915
Victoria,"Professional, scientific and technical services",Skill level 5,1261,1814.878,0
Victoria,Administrative and support services,Full-time,1623.804,1501.358,1685.096
Victoria,Administrative and support services,Part-time,549.62,458.835,600
Victoria,Administrative and support services,Skill level 1,1731.4,0,1726.419
Victoria,Administrative and support services,Skill level 2,1855.114,0,1931.961
Victoria,Administrative and support services,Skill level 3,1099.104,1111.899,0
Victoria,Administrative and support services,Skill level 4,950,1064.353,920.271
Victoria,Administrative and support services,Skill level 5,580.688,577.755,586.328
Victoria,Public administration and safety,Full-time,1750,1931.852,1650
Victoria,Public administration and safety,Part-time,972.089,0,986.045
Victoria,Public administration and safety,Skill level 1,2000,2167.17,1847.999
Victoria,Public administration and safety,Skill level 2,1906.746,2004.557,1559.967
Victoria,Public administration and safety,Skill level 3,1382.042,1813.807,1312.248
Victoria,Public administration and safety,Skill level 4,1400,1459.15,1398.684
Victoria,Public administration and safety,Skill level 5,1183.988,1471.213,897.311
Victoria,Education and training,Full-time,1748.33,2012.511,1627.15
Victoria,Education and training,Part-time,750.818,750,754.682
Victoria,Education and training,Skill level 1,1534,1954.954,1457.306
Victoria,Education and training,Skill level 2,1630.576,0,1191.594
Victoria,Education and training,Skill level 3,1079.045,1904.827,932.262
Victoria,Education and training,Skill level 4,803.265,989.983,800
Victoria,Education and training,Skill level 5,618.601,0,0
Victoria,Health care and social assistance,Full-time,1651.093,1760,1580.518
Victoria,Health care and social assistance,Part-time,860.217,800,874.392
Victoria,Health care and social assistance,Skill level 1,1652.19,2005.181,1521.906
Victoria,Health care and social assistance,Skill level 2,1397.859,1512.867,1202.362
Victoria,Health care and social assistance,Skill level 3,900,1425.662,855.602
Victoria,Health care and social assistance,Skill level 4,900.659,937.315,900
Victoria,Health care and social assistance,Skill level 5,679.449,842.954,624.31
Victoria,Arts and recreation services,Full-time,1610,1706.508,1336.087
Victoria,Arts and recreation services,Part-time,546.102,334.237,581.012
Victoria,Arts and recreation services,Skill level 1,1686.324,1798.619,1677.324
Victoria,Arts and recreation services,Skill level 2,835.748,0,0
Victoria,Arts and recreation services,Skill level 3,1169.864,1256.942,0
Victoria,Arts and recreation services,Skill level 4,950.268,1225.119,852.985
Victoria,Arts and recreation services,Skill level 5,554.195,0,424.391
Queensland,"Agriculture, forestry and fishing",Full-time,1424.255,1500,1387.088
Queensland,"Agriculture, forestry and fishing",Part-time,671.313,554.06,0
Queensland,"Agriculture, forestry and fishing",Skill level 1,1547.639,1536.32,0
Queensland,"Agriculture, forestry and fishing",Skill level 2,0,0,0
Queensland,"Agriculture, forestry and fishing",Skill level 3,0,0,0
Queensland,"Agriculture, forestry and fishing",Skill level 4,1216.205,1234.927,0
Queensland,"Agriculture, forestry and fishing",Skill level 5,921.452,617.573,1210.64
Queensland,Mining,Full-time,2211.501,2430.68,1531.984
Queensland,Mining,Part-time,1221.712,0,0
Queensland,Mining,Skill level 1,2744.128,2864.252,2292.518
Queensland,Mining,Skill level 2,3150.622,3223.733,0
Queensland,Mining,Skill level 3,2577.843,2999.719,0
Queensland,Mining,Skill level 4,2000,2011.743,1480.795
Queensland,Mining,Skill level 5,0,0,0
Queensland,Manufacturing,Full-time,1547.057,1575.741,1483.164
Queensland,Manufacturing,Part-time,603.134,341.784,704.164
Queensland,Manufacturing,Skill level 1,1914.257,1959.378,1775.93
Queensland,Manufacturing,Skill level 2,1508.838,1522.197,1506.926
Queensland,Manufacturing,Skill level 3,1539.659,1590.172,0
Queensland,Manufacturing,Skill level 4,1564.824,1620.12,1493.214
Queensland,Manufacturing,Skill level 5,1159.028,1194.181,1138.483
Queensland,"Electricity, gas, water and waste services",Full-time,1999.732,2000,1898.202
Queensland,"Electricity, gas, water and waste services",Part-time,0,0,0
Queensland,"Electricity, gas, water and waste services",Skill level 1,2611.748,3023.024,2510.58
Queensland,"Electricity, gas, water and waste services",Skill level 2,0,0,0
Queensland,"Electricity, gas, water and waste services",Skill level 3,2508.777,2564.439,0
Queensland,"Electricity, gas, water and waste services",Skill level 4,1506.609,1457.544,0
Queensland,"Electricity, gas, water and waste services",Skill level 5,0,0,0
Queensland,Construction,Full-time,1500,1500,1173.139
Queensland,Construction,Part-time,745.35,1010.649,609.722
Queensland,Construction,Skill level 1,2080.495,2020.693,0
Queensland,Construction,Skill level 2,1901.88,1912.53,1599.073
Queensland,Construction,Skill level 3,1400,1406.226,0
Queensland,Construction,Skill level 4,1229.201,1464.406,869.262
Queensland,Construction,Skill level 5,1250,1250,0
Queensland,Wholesale trade,Full-time,1409.248,1568.705,1267.86
Queensland,Wholesale trade,Part-time,780.469,0,698.862
Queensland,Wholesale trade,Skill level 1,1985.578,2052.745,1398.02
Queensland,Wholesale trade,Skill level 2,1285.02,0,0
Queensland,Wholesale trade,Skill level 3,1467.551,0,0
Queensland,Wholesale trade,Skill level 4,1244.442,1257.55,1177.997
